video_id,comment_text,likes,replies,pol
GjtYtBGrP6Y,Is amazing,0,0,0.6000000000000001
qznElIkZ1hc,WHAT AM I DOING WITH MY TIME????,0,0,0.0
tLv3X-aMyWQ,Everyone knows remix ✌😍😂,0,0,0.0
h9TlaYxoOO8,https://www.youtube.com/watch?v=Bnx95KyQEAA Brazil (2/10) Movie CLIP - Plastic Surgery (1985) HD,0,0,0.0
Zy6vBxqlapw,https://youtu.be/qukaaCE-J5Y,0,0,0.0
q6yzrZfgQvI,I love DM from Poland ❤️,0,0,0.5
R1ZXOOLMJ8s,"I'm just wondering... How did Will get taken, doesnt the thing (sorry forgot how to spell it,. 😂) Detect blood? Will wasn't bleeding, or did he bleed when he fell off his bike trying to get away from it? I'm curious!",0,0,-0.3125
x5Ps13AeXxQ,Love you guys. Prayers are with you and your family. Can't wait til your all back miss ya.,0,0,0.25
7xCQ4B40wOc,i want like a whole row of exploding pumpkins,1,0,0.2
o5xxIciBSME,The iPhone ten is nothing but a copy of the Galaxy S8  Samsung has had wireless and quick charge in their Galaxy phones for over 2 year's and apple is just now catching up and the Galaxy s8 has more features then the iPhone 10 for less the cost the s8 has a headphone jack and a infinity display with a higher resolution and better water resistant and a bigger battery plus if you want to get the quick charger for the iPhone 10/8 you have to fucken spend 100 dollars where as the Galaxy s8 the quick charger comes included the box,4,1,0.26833333333333337
3X3xtRNb20s,Running from the past,0,0,-0.25
ETR9qrVS17g,how many drive-bys happen in the suburbs  ?,0,0,0.5
p25S_5P6ejg,How do you get your hair colored?? I wanna know what to tell my hair dresser that I want!!!! I love how your hair just blends perfectly,0,0,0.75
Z-ouLX8Q9UM,Japan should of won they tie on the last two matches,0,0,0.0
iL_-GwbEP4g,"Great as always. Brother, Father, Friend Mozz....",0,0,0.8
YrTKLZi6rqk,I swear every time u do a voice over in a video I feel like ur sitting in a spinning chair talking while spinning on it. Am I the only 1????😂✌🏼😜,15,0,0.0
KMZ2vfIoA9k,The trains would crash,0,0,0.0
fwDZ8uhqJg0,Why 2k dislikes?,2,0,0.0
5fsEPf_Uuao,Lauren please do a DIY gifts for Your Boyfriend🌸,0,0,0.0
8I1B4n_8Cto,We made It :'),0,0,0.0
X7WFMUq5ECE,bruh the doctor giggling made me laugh im i a bad person,0,0,-0.19999999999999993
9dobJDxPEzM,But did she die tho?,0,0,0.0
33Z-ix1VLzI,The only favourite thing in the Google Pixel 2 event are the colour names.,0,0,0.0
MGuUiaZWyWo,Sad that nobody knew what Hello Dolly was lol,0,0,0.15000000000000002
ZcTvrxwP6Is,Anyone know who the designer behind this is?,0,0,-0.4
Z-ouLX8Q9UM,Oh wow I can not wait for this to become as big or bigger than BattleBots - Agreed THIS WAS WOWSOME!!!!!!!!!,0,0,0.03333333333333333
upd8nVJr7lc,I love these artists but maybe practice and listen back...it was rough!,1,0,0.1875
R8NeB10INDo,"yes! i'd settle for this to be made into a series of clips, i just really want to know the story! you guys are awesome!!",0,0,0.625
QKy1OazdMD0,not cool.,11,0,-0.175
mWFaxs-KvMY,I love it! :),0,0,0.5625
4kX7iBnoivA,"Just saw it and very disappointed. So bloody slow , the plot hardly moves, focusing on the same thing with a few characters running around. Most of the audience was restless. What on earth did these reviewers with such high praises saw????",0,2,-0.21185185185185187
W-97_yKHQHg,good job to the ppl,9,2,0.7
cMKX2tE5Luk,i would like to hear a intro music from the room,0,0,0.0
fLLe5sODKtg,I just want to hit the like button a 10000 times!!!! Great points!!! <3,0,0,1.0
2t4gy3oAx7I,You are a fool,0,0,0.0
33Z-ix1VLzI,_Ugly_,20,3,-0.7
